,Name,Price
0,Intex 2622 55 W Portable Bluetooth Home Theatre,"₹1,999"
1,Intex IT-2616 BT 55 W Bluetooth Home Theatre,"₹2,199"
2,boAt Stone 190 5 W Bluetooth Speaker ( Mono Channel) 5 ...,₹899
3,MZ M423SP (PORTABLE HOME TV) Dynamic Thunder Sound 2400...,₹699
4,F FERONS Powerpact bass & stereo audio color changIng l...,₹379
5,boAt Stone 350 10 W Bluetooth Speaker,"₹1,699"
6,F FERONS Wireless rechargeable portable Premium Dj bass...,₹385
7,Intex Beast 2010 Wireless Portable Soundbar Speaker 20 ...,"₹1,199"
8,MZ M412SP (PORTABLE) Dynamic Thunder Sound With High Ba...,₹395
9,F FERONS Wireless rechargeable portable Premium bass Mu...,₹399
10,Intex Multimedia Speaker TW 11803 FMUB (Dual) 100 W Blu...,"₹9,999"
11,Intex IT-XM BANG SUFB 78 W Bluetooth Home Theatre,"₹2,899"
12,"Portronics SoundDrum 1 10W TWS Portable, Inbuilt-FM & T...",₹997
13,boAt Aavante Bar 120 W Bluetooth Soundbar,"₹5,999"
14,"JBL Go Essential with Rich Bass, 5 Hrs Playtime, IPX7 W...","₹1,699"
15,ZEBRONICS PSPK9 (County) Bluetooth Speaker with Built-i...,₹499
16,Intex Multimedia Speaker TW 11801 TUFB 70 W Bluetooth T...,"₹5,499"
17,GOVO GOSURROUND 200 |2000 mAh Battery 16 W Bluetooth So...,₹999
18,F FERONS TG-113 Ultra 3D Dynamic Thunder Sound With Hig...,₹386
19,boAt Aavante Bar Orion with Multiple Connectivity Ports...,"₹5,999"
20,Intex Beast 2410 Wireless Portable Soundbar Speaker 24 ...,"₹1,599"
21,Intex Multimedia Speaker TW Thunder 950 (s) 95 W Blueto...,"₹7,499"
22,Sulfur Best Buy Ultra DJ Sound Blast Portable BestSuper...,₹499
23,boAt Blitz 2000 Multimedia 100 W Bluetooth Home Theatre,"₹3,999"
24,boAt Aavante Bar 500 / 503 / 508 10 W Bluetooth Soundba...,"₹1,599"
25,artis S21 5 W Laptop/Desktop Speaker,₹599
26,Intex TW-XH 13503 FMUB (Dual) 150 W Bluetooth Tower Spe...,"₹11,999"
27,Intex Beast 4000 Soundbar 40 W Bluetooth Soundbar,"₹2,999"
28,F FERONS Wireless rechargeable portable Premium bass Mu...,₹375
29,ZEBRONICS ZEB-SOUND FEAST 500 70 W Bluetooth Party Spea...,"₹4,299"
30,Inext SN651/BK 20 W Bluetooth Party Speaker,"₹1,436"
31,Intex Multimedia Speaker TW 13501 FMUB (Dual) 140 W Blu...,"₹10,999"
32,SAMSUNG HW-T42E/XL Dolby Digital 150 W Bluetooth Soundb...,"₹7,999"
33,ZEBRONICS ZEB-WARRIOR 10 W Laptop/Desktop Speaker,₹899
34,Mivi Roam2 5 W Bluetooth Speaker,₹899
35,ZEBRONICS PSPK9 (County) Bluetooth Speaker with Built-i...,₹549
36,Walta Elite BRIO-1350 50 W Bluetooth Party Speaker,"₹5,999"
37,"GOVO GOSURROUND 350 | 25 W Bluetooth Soundbar, 2000 mAh...","₹1,499"
38,"Mivi Fort S60 with 2 in-built subwoofers, Made in India...","₹2,999"
39,boAt Stone 190 5 W Bluetooth Speaker,"₹1,299"
